typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,semanticId
SubmodelElementCollection,Stack,,,,,,
Entity,Festo DSNU-20-100-PPV-A Cylinder,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SDAT-MHS-M125-1L-SA-E-0.3-M8 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SMEO-4U-K-LED-230 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Balluff BOS-18M-PS-1PD-E4-C-03 Optical sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,HBM PW6DC3MR 3kg Weight sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Balluff BCS R08RR01-PSM80C-EP02 Capacitive sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Balluff BES M12MI-PSC40B-BV03 Inductive sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SDE1-D10-G2-H18-C-PU-M8 Pressure sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SFAB-200U 563795 Flow sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo OVEM-05-H-B-QO-CE-N-P1 Vacuum generator,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-VI Valve terminal,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-M1H-5LS-M7 Solenoid valve,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-M1H-5LS-M7 Solenoid valve,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-M1H-5JS-M7 Solenoid valve,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-VI Valve terminal,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-RZP Blanking plate,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-M1H-2OLS-2GLS-M7 Solenoid valve,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo MA-40-16-1_8 Pressure gauge,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo D:S-PVW-LFR Mini filter regulator,,,,,,
End-Entity,,,,,,,
Entity,HBM RM4220 Measuring amplifier,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Phonix Contact DIKD 1.5 Terminal block & Load cell connection,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,Crane,,,,,,
Entity,Festo DZF-25-50-A-P-A Flat cylinder,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo S-3-BE-SW Micro switch,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Bernstein D-32457 Inductive sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Contelec GL60 Angel sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SDAT-MHS-M80-1L-SA-E-0.3-M8 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SME-8-K-LED-24 Proximity sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Ott XDS 035 005-03 Motor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo EGC-50- -TB-KF Toothed belt axis,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo VAS-30-1_8-PUR-B Vacuum cup,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Siemens 6GT2821-2AC32 RFID read and write head,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,Stamp,,,,,,
Entity,Festo DSNU-20-100-PPV-A Cylinder,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SDAT-MHS-M160-1L-SA-E-0.3-M8 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SMEO-4U-K-LED-230 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo MA-40-10-1_8-EN Pressure gauge,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SDE1-D10-G2-H18-C-PU-M8 Pressure sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo DSNU-16-60-P-A Cylinder,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SDAT-MHS-M80-1L-SA-E-0.3-M8 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SMEO-4U-K-LED-230 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-M1H-5JS-M7 Solenoid valve,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection, Large Sorting Conveyor,,,,,,
Entity,Balluff BOS-18M-PS-1PD-E4-C-03 Optical Sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SDAT-MHS-M80-1L-SA-E-0.3-M8 Inductive Position Transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SMEO-4U-K-LED-230 Inductive position transmitter,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Balluff BUS M18K0-XAER-040-S92K Ultrasonic Sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo DSNU-16-60-PPV-A Cylinder,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Bernstein OT18RT-DPTP-0100-CL Diffuse Reflection Sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-VI Valve terminal,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo ADVU-16-10-P-A Compact cylinder,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Bernstein 010-KLPS8V Inductive Proximity Switch,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Balluff BES 516-360-BO-C-03 Inductive Sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Bernstein OT18RT-DPTP-0100-CL Diffuse Reflection Sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-M1H-5JS-M7  Solenoid valve,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo CPV10-M1H-5LS-M7 Solenoid Valve,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Siemens 6GT2821-2AC32 RFID read and write head,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Festo SME-8-S-LED-24 Proximity Sensor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
Entity,Ott XDS 035 005-03 Motor,,,,,,
ReferenceElement,Reference,,,,,,
End-Entity,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,PicAlpha Conveyor,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,Small Sorting Conveyor,,,,,,
End-SubmodelElementCollection,,,,,,,
