PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
watt per square metre kelvin;W/(m²·K);SI derived unit watt divided by the product of the power of the SI base unit metre with the exponent 2 and the SI base unit kelvin;DIN 1301-2, ISO 1000;;W/(m²·K);watt per square metre kelvin;W m⁻² K⁻¹;watt per square metre kelvin;D55;watt per square meter kelvin;;0173-1#05-AAA001#003;thermal transmittance
siemens square metre per mole;S·m²/mol;product of the SI derived unit siemens and the power of the SI base unit metre with the exponent 2 divided by the SI base unit mol;;;S·m²/mol;;S m² mol⁻¹;siemens square metre per mole;D12;;;0173-1#05-AAA002#003;molar conductivity
kilogram per minute kelvin;(kg/min)/K;SI base unit kilogram divided by the product out of the unit minute and the SI base unit kelvin;;;kg/(min.K);kilogram per minute kelvin;kg min⁻¹ K⁻¹;kilogram per minute kelvin;F41;;;0173-1#05-AAA003#003;temperature-based mass flow rate
microfarad per metre;µF/m;0,000 001 fold of the SI derived unit farad divided by the SI base unit metre;;;µF/m;microfarad per metre;µF m⁻¹;microfarad per metre;B89;;;0173-1#05-AAA004#003;permittivity
joule per metre;J/m;SI derived unit joule divided by the SI base unit metre;;;J/m;joule per metre;J m⁻¹;joule per metre;B12;joule per meter;;0173-1#05-AAA005#003;total linear stopping power
one, piece or unit;1;unit consisting of the quotient of two similar sizes, whose units can be reduced against each other and not displayed by other units of the dimension one;SI brochure;;one;one;one;one, piece or unit;C62;one;;0173-1#05-AAA006#003;quantity
microfarad;µF;0,000 001 fold of the SI derived unit farad;;;µF;microfarad;µF;microfarad;4O;;;0173-1#05-AAA007#003;capacitance
centimetre;cm;0,01 fold of the SI base unit metre;;;cm;centimetre;cm;centimetre;CMT;;;0173-1#05-AAA008#003;distance
newton metre^2 kilogram^-2;N·m²/kg²;product of the derived SI unit newton, the power of the SI base unit metre with the exponent 2 and the power of the SI base unit kilogram with the exponent -2;;;N·m²/kg²;newton square metre per kilogram squared;N·m²/kg²;newton metre squared per kilogram squared;C54;;;0173-1#05-AAA009#003;gravitational constant
microsiemens;µS;0,000 001 fold of the SI derived unit siemens;;;µS;microsiemens;µS;microsiemens;B99;;;0173-1#05-AAA010#003;electrical conductance
gram per mole;g/mol;0,01 fold of the SI base unit kilogram divided by the SI base unit mol;;;g/mol;gram per mole;g mol⁻¹;gram per mole;A94;;;0173-1#05-AAA011#003;molar mass
radian;rad;angle at which the arc of circle has the same length as the radius;SI brochure, DIN 1301-1;A radiant corresponds to the plane angle between two radii of a circle, which cuts an arc from the circumference of the length of the radius;rad;radian;rad;radian;C81;radian;;0173-1#05-AAA012#003;plane angle
lumen hour;lm·h;product of the SI derived unit lumen and the unit hour;;;lm·h;lumen hour;lm h;lumen hour;B59;;;0173-1#05-AAA013#003;quantity of light
kilogram per cubic decimetre;kg/dm³;SI base unit kilogram divided by the 0,001 fold of the power of the SI base unit metre with the exponent 3;;;kg/dm³;kilogram per cubic decimetre;kg dm⁻³;kilogram per cubic decimetre;B34;;;0173-1#05-AAA014#003;density
pascal;Pa;SI derived unit with special name, for which the following relation applies: 1 Pa = 1 N·m⁻² = 1 m⁻¹·kg·s⁻²;SI brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;Pa;pascal;Pa;pascal;PAL;pascal;;0173-1#05-AAA015#003;mechanical tension
micromole;µmol;0,000 001 fold of the SI base unit mol;;;µmol;micromole;µmol;micromole;FH;;;0173-1#05-AAA016#003;amount of substance
square metre per second kelvin;(m²/s)/K;power of the SI base unit metre with the exponent 2 divided by the product out of the SI base unit second and the SI base unit kelvin;;;m²/(s.K);square metre per second kelvin;m² s⁻¹ K⁻¹;square metre per second kelvin;G09;;;0173-1#05-AAA017#003;temperature-based kinematic viscosity
millilitre per second kelvin;(ml/s)/K;0,001 fold of the unit litre divided by the product out of the SI base unit second and the SI base unit kelvin;;;ml/(s.K);millilitre per second kelvin;ml s⁻¹ K⁻¹;millilitre per second kelvin;G76;;;0173-1#05-AAA018#003;temperature-based volume flow rate
millipascal;mPa;0,001 fold of the SI derived unit pascal;;;mPa;millipascal;mPa;millipascal;74;;;0173-1#05-AAA019#003;mechanical tension
nanofarad per metre;nF/m;0,000 000 001 fold of the SI derived unit farad divided by the SI base unit metre;;;nF/m;nanofarad per metre;nF m⁻¹;nanofarad per metre;C42;;;0173-1#05-AAA020#003;permittivity
kilosecond;ks;1000 fold of the SI base unit second;;;ks;kilosecond;ks;kilosecond;B52;;;0173-1#05-AAA021#003;time
bushel (US);bu (US);unit of the volume according to the Anglo-American system of units with the relation according to NIST: 1 bushel (US) = 35,239 07 litres;NIST Special Publication 811:1995;1 bushel (US) = 4 peck = 32 dry quart = 64 dry pint = 2150,42 cubic inch = 35,23907016688 litre, 1 bushel (US) ≈ 0,969 bushel (Imp.);;;;bushel (US);BUA;bushel (U.S.);;0173-1#05-AAA022#003;volume or section modulus
siemens per metre;S/m;SI derived unit siemens divided by the SI base unit metre;;;S/m;siemens per metre;S m⁻¹;siemens per metre;D10;;;0173-1#05-AAA023#003;conductivity
joule per gram;J/g;SI derived unit joule divided by the 0,001 fold of the SI base unit kilogram;;;J/g;joule per gram;J g⁻¹;joule per gram;D95;;;0173-1#05-AAA024#003;specific (internal) energy E (S,V, N) related by mass
kilogram per second bar;(kg/s)/bar;SI base unit kilogram divided by the product out of the SI base unit second and the unit bar;;;kg/(s.bar);kilogram per second bar;kg s⁻¹ bar⁻¹;kilogram per second bar;F69;;;0173-1#05-AAA025#003;pressure-based mass flow
