typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
SubmodelElementCollection,StateDiagram,,,,,,,
,RootElement,,,,,,_pJ8eYBHQEeaen93uATCTQQ,
SubmodelElementCollection,MAIN,,,,,,_eQ3PwNi0EeaI3IcGROryBQ,
SubmodelElementCollection,StateDiagram_MAIN,,,,,,_36PIkNiyEeaI3IcGROryBQ,
SubmodelElementCollection,Transition_PseudostateToMain_Program,,,,,,_Sd2UsNi0EeaI3IcGROryBQ,
RelationshipElement,PseudostateToMain_Program,_QJAZsNizEeaI3IcGROryBQ,,,,,_Sd2UsNi0EeaI3IcGROryBQ,_Tefu0NizEeaI3IcGROryBQ
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Main_ProgramToFinalState,,,,,,_WDBEkNi0EeaI3IcGROryBQ,
RelationshipElement,Main_ProgramToFinalState,_Tefu0NizEeaI3IcGROryBQ,,,,,_WDBEkNi0EeaI3IcGROryBQ,_UHDuMNi0EeaI3IcGROryBQ
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Pseudostate,,,,,,_QJAZsNizEeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Main_Program,,,,,,_Tefu0NizEeaI3IcGROryBQ,
SubmodelElementCollection,doActivities,,,,,,,
Property,PPU,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUstack,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUcrane,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUstamp,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUlargeSortingConveyor,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stack_WPType,PPU.stack.WPType,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_WPType,PPU.crane.WPType,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stamp_WPType,PPU.stamp.WPType,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stack_WPProvided,PPU.stack.WPProvided,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_Allow_Conveyor_to_Operate,PPU.crane.Conveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_Allow_Stamp_to_Operate,PPU.crane.Stamp_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_PickedUpStackWP,PPU.crane.Table.Potentiometer.AtStack AND PPU.crane.WPPickedUp,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stamp_IsStamping,PPU.stamp.IsStamping,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stamp_WPAvailable,PPU.Stamp.WPAvailable.DI_SwitchTrue,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stamp_AutomaticExecuteCompleted,PPU.Stamp.AutomaticExecuteCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,LargeSortingConveyor_AllowedToOperate,Crane_Allow_Conveyor_to_Operate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,LargeSortingConveyor_IsSorting,PPU.largeSortingConveyor.IsSorting,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,LargeSortingConveyor_AutomaticExecuteCompleted,PPU.largeSortingConveyor.AutomaticExecuteCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_HN2AENi0EeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,FinalState,,,,,,_UHDuMNi0EeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,PPU,,,,,,_2ub-IBHQEeaen93uATCTQQ,
SubmodelElementCollection,StateDiagram_PPU_ACT_AutomaticExecute,,,,,,_MqflwBHREeaen93uATCTQQ,
SubmodelElementCollection,Transition_PseudostateTo,,,,,,_mdtwEBzxEeaHnYHMiM-I7Q,
ReferenceElement,PseudostateTo,__3w-ABzwEeaHnYHMiM-I7Q,,,,,_mdtwEBzxEeaHnYHMiM-I7Q,
Property,notstackDI_WPAvailable,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToPseudostate,,,,,,_B8KMwBzzEeaHnYHMiM-I7Q,
