typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
SubmodelElementCollection,StateDiagram,,,,,,,
,RootElement,,,,,,_pJ8eYBHQEeaen93uATCTQQ,
SubmodelElementCollection,MAIN,,,,,,_eQ3PwNi0EeaI3IcGROryBQ,
SubmodelElementCollection,StateDiagram_MAIN,,,,,,_36PIkNiyEeaI3IcGROryBQ,
SubmodelElementCollection,Transition_PseudostateToMain_Program,,,,,,_Sd2UsNi0EeaI3IcGROryBQ,
RelationshipElement,PseudostateToMain_Program,_QJAZsNizEeaI3IcGROryBQ,,,,,_Sd2UsNi0EeaI3IcGROryBQ,_Tefu0NizEeaI3IcGROryBQ
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Main_ProgramToFinalState,,,,,,_WDBEkNi0EeaI3IcGROryBQ,
RelationshipElement,Main_ProgramToFinalState,_Tefu0NizEeaI3IcGROryBQ,,,,,_WDBEkNi0EeaI3IcGROryBQ,_UHDuMNi0EeaI3IcGROryBQ
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Pseudostate,,,,,,_QJAZsNizEeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Main_Program,,,,,,_Tefu0NizEeaI3IcGROryBQ,
SubmodelElementCollection,doActivities,,,,,,,
Property,PPU,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUstack,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUcrane,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUstamp,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUlargeSortingConveyor,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUPicAlphaConveoyr,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPUSmallSortingConveyor,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PPURefillConveyor,,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stack_WPPickedUp,PPU.Crane.Table.AtStack.DI_SwitchTrue AND PPU.Crane.WPPickedUp,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stack_WPProvided,PPU.Stack.WPProvided,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stack_WPType,PPU.Stack.WPType,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stack_WPWeight,PPU.Stack.WPWeight,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stack_WPProvided,Stack_WPProvided,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stack_WPType,Stack_WPType,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_LargeSortingConveyor_IsSorting,LargeSortingConveyor_IsSorting,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_LargeSortingConveyor_AutomaticExecuteCompleted,LargeSortingConveyor_AutomaticExecuteCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stamp_IsStamping,Stamp_IsStamping,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stamp_WPAvailable,Stamp_WPAvailable,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stamp_AutomaticExecuteCompleted,Stamp_AutomaticExecuteCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_RefillConveyor_IsSending,RefillConveyor_IsSending,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_WPType,PPU.Crane.WPType,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_WPWeight,PPU.Crane.WPWeight,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_Conveyor_AllowedToOperate,PPU.Crane.Conveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_Stamp_AllowedToOperate,PPU.Crane.Stamp_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Crane_WPPickedUp,PPU.Crane.Gripper.VacuumSwitch.DI_TakenIn,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stamp_AllowedToOperate,Crane_Stamp_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_Stamp,Crane_WPWeight,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Stamp_WPType,PPU.Stamp.WPType,,,,,_HN2AENi0EeaI3IcGROryBQ,
