typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,semanticId
SubmodelElementCollection,,,,CONSTANT,,,
Property,Summary,,,CONSTANT,,,
Property,PosSimPurpose,,str,,,,
Property,TypeOfModel,,str,,,,
Property,ScopeOfModel,,str,,,,
Property,LicenseModel,,str,,,,
Property,EngineeringDomain,,str,,,,
SubmodelElementCollection,Environment,,,,,,
Property,OperatingSystem,,str,,,,
Property,ToolEnvironment,,str,,,,
Property,DependencyEnvironment,,,CONSTANT,,,
Property,VisualizationInformation,,str,,,,
SubmodelElementCollection,SimulationTool,,,CONSTANT,,,
Property,SimToolName,,str,CONSTANT,,,
SubmodelElementCollection,Solver,,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,ModelFile,,,CONSTANT,,,
Property,ModelFileType,,str,,,,
SubmodelElementCollection,ModelFileInfo,,,CONSTANT,,,
End-SubmodelElementCollection,,,,,,,
File,ModelFile,,,,,,
End-SubmodelElementCollection,,,,,,,
Property,ParamMethod,,str,,,,
File,ParamFile,,,,,,
Property,SimTime,,Float,,,,
SubmodelElementCollection,Input,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,results,,,,,,
End-SubmodelElementCollection,,,,,,,
File,Screenshot,,,,,,
End-SubmodelElementCollection,,,,,,,
