Name,Port,DataType,Scope
Band_Vor,1,Inherit: Same as Simulink,Input
Band_Zurueck,2,Inherit: Same as Simulink,Input
Band_Vor_FS,1,double,Output
Band_Zurueck_FS,2,double,Output
Zyl_1_Einfahren,1,Inherit: Same as Simulink,Input
Zyl_1_X_Achse,1,double,Output
Zyl_1_Ausfahren,2,Inherit: Same as Simulink,Input
Band_Zyl_1_Eingefahren,2,double,Output
Band_Zyl_1_Ausgefahren,3,double,Output
Sample_Time,3,Inherit: Same as Simulink,Input
Schrittgroesse,4,double,Output
Naechste_Position,N/A,double,Local
r,N/A,double,Output
r,N/A,double,Output
r,N/A,double,Output
r,N/A,double,Output
Zyl_2_Einfahren,1,Inherit: Same as Simulink,Input
Schrittgroesse,1,double,Output
Zyl_2_X_Achse,2,double,Output
Zyl_2_Ausfahren,2,Inherit: Same as Simulink,Input
Band_Zyl_2_Eingefahren,3,double,Output
Band_Zyl_2_Ausgefahren,4,double,Output
Sample_Time,3,Inherit: Same as Simulink,Input
Naechste_Position,N/A,double,Local
r,N/A,double,Output
r,N/A,double,Output
r,N/A,double,Output
r,N/A,double,Output
BT_Y_Achse,1,double,Output
BT_1_Lager,2,double,Output
Kran_Sauger_BT,3,double,Output
BT_1_Bereit,4,double,Output
BT_X_Achse,5,double,Output
BT_Z_Achse,6,double,Output
x,N/A,double,Local
Lager_X_Achse,1,Inherit: Same as Simulink,Input
Lager_Ver_Ausgefahren,2,Inherit: Same as Simulink,Input
Kran_Stellung_Lager,3,Inherit: Same as Simulink,Input
Kran_Stellung_Band,4,Inherit: Same as Simulink,Input
Kran_Stellung_Stempel,5,Inherit: Same as Simulink,Input
Kran_Zyl_Oben,6,Inherit: Same as Simulink,Input
Kran_Zyl_Unten,7,Inherit: Same as Simulink,Input
Kran_Sauger,8,Inherit: Same as Simulink,Input
Kran_Hochheben,9,Inherit: Same as Simulink,Input
Kran_Runterlassen,10,Inherit: Same as Simulink,Input
Kran_Drehen_Links,11,Inherit: Same as Simulink,Input
Kran_Drehen_Rechts,12,Inherit: Same as Simulink,Input
Stempel_Halterung_Ausfahren,13,Inherit: Same as Simulink,Input
Stempel_Halterung_Einfahren,14,Inherit: Same as Simulink,Input
Band_Vor,15,Inherit: Same as Simulink,Input
