typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,semanticId
SubmodelElementCollection,DynamicControl,,,CONSTANT,,,
Property,Summary,Achieve smooth motion control through a mathematical model.,,CONSTANT,,,
Property,PosSimPurpose,System dynamics,str,,,,
Property,TypeOfModel,Nonlinear model,str,,,,
Property,ScopeOfModel,Dynamics,str,,,,
Property,LicenseModel,subscription,str,,,,
Property,EngineeringDomain,Control Engineering,str,,,,
SubmodelElementCollection,Environment,,,,,,
Property,OperatingSystem,Windows 10 64bit,str,,,,
Property,ToolEnvironment,"MATLAB Simulink, Version R2016b",str,,,,
Property,DependencyEnvironment,No specific hardware or software dependencies,,CONSTANT,,,
Property,VisualizationInformation,integrated,str,,,,
SubmodelElementCollection,SimulationTool,,,CONSTANT,,,
Property,SimToolName,"MATLAB Simulink, Version R2016b",str,CONSTANT,,,
SubmodelElementCollection,Solver,,,,,,
Property,SolverType,Variable-step,,,,,
Property,SolverName,ode45,,,,,
Property,FixedStepSize,auto,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,ModelFile,,,CONSTANT,,,
Property,ModelFileType,slx,str,,,,
SubmodelElementCollection,ModelFileInfo,,,CONSTANT,,,
Property,ModelName,dynamik_3,,,,,
Property,Creator,Alexa,,,,,
Property,LastModifiedBy,Alexa,,,,,
Property,CreatedOn,Fri Jun 01 17:14:17 2018,,,,,
Property,ModelVersion,1.44,,,,,
Property,Description,,,,,,
End-SubmodelElementCollection,,,,,,,
File,ModelFile,D:\Code\python\src\simulation_info_2_csv\model\xppu-model-simulink\dynamik_3.slx,,,,,
End-SubmodelElementCollection,,,,,,,
Property,ParamMethod,pre-parameterized,str,,,,
File,ParamFile1,D:\Code\python\src\simulation_info_2_csv\model\xppu-model-simulink\Test_m1_init.m,,,,,
File,ParamFile2,D:\Code\python\src\simulation_info_2_csv\model\xppu-model-simulink\Test_m2_init.m,,,,,
Property,SimTime,80,Float,,,,
SubmodelElementCollection,Input,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,results,,,,,,
File,SimResult,D:\Code\python\src\simulation_info_2_csv\model\xppu-model-simulink\dynamik_3.jpg,,,,,
End-SubmodelElementCollection,,,,,,,
File,Screenshot,D:\Code\python\src\simulation_info_2_csv\model\xppu-model-simulink\Scrennshot.png,,,,,
End-SubmodelElementCollection,,,,,,,
