typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,semanticId
SubmodelElementCollection,SimulationInBlenderUnity,,,CONSTANT,,,
Property,Summary,"The Unity model for Scenario Sc13 simulates a crane handling workpieces, combining transport, stamping, and sorting with sensor-driven automation",,CONSTANT,,,
Property,PosSimPurpose,Virtual commissioning,str,,,,
Property,TypeOfModel,Data-driven model,str,,,,
Property,ScopeOfModel,Visualization,str,,,,
Property,LicenseModel,free,str,,,,
Property,EngineeringDomain,HMI Engineering,str,,,,
SubmodelElementCollection,Environment,,,,,,
Property,OperatingSystem,Windows 10 64bit,str,,,,
Property,ToolEnvironment,Unity,str,,,,
Property,DependencyEnvironment,,,CONSTANT,,,
Property,VisualizationInformation,integrated,str,,,,
Property,SimToolName,Unity,str,CONSTANT,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,ModelFile,,,CONSTANT,,,
Property,ModelFileType,exe,str,,,,
SubmodelElementCollection,ModelFileInfo,,,CONSTANT,,,
End-SubmodelElementCollection,,,,,,,
File,ModelFile,D:\Code\python\src\simulation_info_2_csv\model\xPPU_EXE\xPPU_ohneVRNavigation.exe,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,Input,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,results,,,,,,
End-SubmodelElementCollection,,,,,,,
File,Screenshot,D:\Code\python\src\simulation_info_2_csv\model\xPPU_EXE\Scrennshot.png,,,,,
End-SubmodelElementCollection,,,,,,,
