typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,semanticId
SubmodelElementCollection,,,,CONSTANT,,,
Property,Summary,,,CONSTANT,,,
Property,PosSimPurpose,,str,,,,
Property,TypeOfModel,,str,,,,
Property,ScopeOfModel,,str,,,,
Property,LicenseModel,,str,,,,
Property,EngineeringDomain,,str,,,,
SubmodelElementCollection,Environment,,,,,,
Property,OperatingSystem,,str,,,,
Property,ToolEnvironment,,str,,,,
Property,DependencyEnvironment,,,CONSTANT,,,
Property,VisualizationInformation,,str,,,,
SubmodelElementCollection,SimulationTool,,,CONSTANT,,,
Property,SimToolName,,str,CONSTANT,,,
SubmodelElementCollection,Solver,,,,,,
Property,SolverType,Fixed-step,,,,,
Property,SolverName,ode3,,,,,
Property,FixedStepSize,Sample_Time_Model,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,ModelFile,,,CONSTANT,,,
Property,ModelFileType,,str,,,,
SubmodelElementCollection,ModelFileInfo,,,CONSTANT,,,
Property,ModelName,Scenario_13_CoDeSys,,,,,
Property,Creator,Aicher,,,,,
Property,LastModifiedBy,lijia,,,,,
Property,CreatedOn,Wed Mar 06 16:26:02 2013,,,,,
Property,ModelVersion,1.854,,,,,
Property,Description,,,,,,
End-SubmodelElementCollection,,,,,,,
File,ModelFile,,,,,,
End-SubmodelElementCollection,,,,,,,
Property,ParamMethod,,str,,,,
File,ParamFile,,,,,,
Property,SimTime,inf,Float,,,,
SubmodelElementCollection,Input,,,,,,
SubmodelElementCollection,OPC Read2,,,,,,
Property,PLC_GW3.Application.GVL.Stempel_Druck_Soll,,,,,,
Property,PLC_GW3.Application.GVL.Stempelschlitten.QX_einfahren,,,,,,
Property,PLC_GW3.Application.GVL.Stempelschlitten.QX_ausfahren,,,,,,
Property,PLC_GW3.Application.GVL.Stempelzylinder.QX_einfahren,,,,,,
Property,PLC_GW3.Application.GVL.Stempelzylinder.QX_ausfahren,,,,,,
Property,PLC_GW3.Application.GVL.Band_vor,,,,,,
Property,PLC_GW3.Application.GVL.Band_zurueck,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder1.QX_einfahren,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder1.QX_ausfahren,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder2.QX_einfahren,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder2.QX_ausfahren,,,,,,
Property,PLC_GW3.Application.GVL.Vereinzelungszylinder.QX_einfahren,,,,,,
Property,PLC_GW3.Application.GVL.Vereinzelungszylinder.QX_ausfahren,,,,,,
Property,PLC_GW3.Application.GVL.Kran_Sauger_an,,,,,,
Property,PLC_GW3.Application.GVL.Kran_Sauger_aus,,,,,,
Property,PLC_GW3.Application.GVL.Kran_drehen_links,,,,,,
Property,PLC_GW3.Application.GVL.Kran_drehen_rechts,,,,,,
Property,PLC_GW3.Application.GVL.Kranzylinder.QX_einfahren,,,,,,
Property,PLC_GW3.Application.GVL.Kranzylinder.QX_ausfahren,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,OPC Read3,,,,,,
Property,PLC_GW3.Application.GVL.Lager_Lampe_Gruen,,,,,,
Property,PLC_GW3.Application.GVL.Band_Lampe_Gruen,,,,,,
Property,PLC_GW3.Application.GVL.Stempel_Lampe_Gruen,,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,results,,,,,,
SubmodelElementCollection,OPC Write,,,,,,
Property,PLC_GW3.Application.GVL.Stempel_Sensor_Mat_vorhanden,,,,,,
Property,PLC_GW3.Application.GVL.Stempelschlitten.IX_ausgefahren,,,,,,
Property,PLC_GW3.Application.GVL.Stempelschlitten.IX_eingefahren,,,,,,
Property,PLC_GW3.Application.GVL.Stempelzylinder.IX_ausgefahren,,,,,,
Property,PLC_GW3.Application.GVL.Stempelzylinder.IX_eingefahren,,,,,,
Property,PLC_GW3.Application.GVL.Band_Sensor_Mat_Vorhanden,,,,,,
Property,PLC_GW3.Application.GVL.Band_Sensor_Hell_1,,,,,,
Property,PLC_GW3.Application.GVL.Band_Sensor_Hell_2,,,,,,
Property,PLC_GW3.Application.GVL.Band_Sensor_Hell_3,,,,,,
Property,PLC_GW3.Application.GVL.Band_Sensor_Hell_4,,,,,,
Property,PLC_GW3.Application.GVL.Band_Sensor_Metall_1,,,,,,
Property,PLC_GW3.Application.GVL.Band_Sensor_Metall_2,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder1.IX_eingefahren,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder1.IX_ausgefahren,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder2.IX_eingefahren,,,,,,
Property,PLC_GW3.Application.GVL.Sortierzylinder2.IX_ausgefahren,,,,,,
