Full-Name,Type,Index-Offset,Index-Group,Subitems
MAIN.fb_RFC_SwitchFalling,Tc2_Standard.F_TRIG,0x290eb4,0x4040,0
MAIN.fb_RFC_WPAtEndFalling,Tc2_Standard.F_TRIG,0x290ebc,0x4040,0
MAIN.fb_RFC_WPAtEndRising,Tc2_Standard.R_TRIG,0x290ec4,0x4040,0
MAIN.i,UINT,0x19263e,0x4040,0
MAIN.IGNORE_DEFINITION,BOOL,0x722ee,0x4040,0
MAIN.IGNORE_STOP,BOOL,0x722ef,0x4040,0
MAIN.INSTANCE_NAME,STRING(80),0x73e44,0x4040,0
MAIN.m_alarm_flags,ARRAY [1..21] OF BOOL,0x290c88,0x4040,0
MAIN.m_allRampsFull,Resi4MPM.BoolExpression,0x192628,0x4040,0
MAIN.m_appInitialized,BOOL,0x192643,0x4040,0
MAIN.m_appObservation,ARRAY [1..1] OF Resi4MPM.SValue,0x290c20,0x4040,0
MAIN.m_boolExpr8,Resi4MPM.BoolExpression,0x192600,0x4040,0
MAIN.m_boolExpr9,Resi4MPM.BoolExpression,0x192614,0x4040,0
MAIN.m_buttonManager,ButtonManager,0x73e98,0x4040,0
MAIN.m_buttonManager.DI_AutomaticSwitch_DoorTerminal,BOOL,0x73ea6,0xf020,0
MAIN.m_buttonManager.DI_AutomaticSwitch_LightGridTerminal,BOOL,0x73ea7,0xf020,0
MAIN.m_buttonManager.DI_AutomaticSwitch_LSCTerminal,BOOL,0x73ea5,0xf020,0
MAIN.m_buttonManager.DI_AutomaticSwitch_StackTerminal,BOOL,0x73ea3,0xf020,0
MAIN.m_buttonManager.DI_AutomaticSwitch_StampTerminal,BOOL,0x73ea4,0xf020,0
MAIN.m_buttonManager.DI_EStopButton_LightBarrier,BOOL,0x73eab,0xf020,0
MAIN.m_buttonManager.DI_EStopButton_Terminal1,BOOL,0x73ea8,0xf020,0
MAIN.m_buttonManager.DI_EStopButton_Terminal2,BOOL,0x73ea9,0xf020,0
MAIN.m_buttonManager.DI_EStopButton_Terminal3,BOOL,0x73eaa,0xf020,0
MAIN.m_buttonManager.DI_ResetButton_Door,BOOL,0x73eac,0xf020,0
MAIN.m_buttonManager.DI_ResetButton_LightBarrier,BOOL,0x73ead,0xf020,0
MAIN.m_buttonManager.DI_StartButton_Door,BOOL,0x73e9f,0xf020,0
MAIN.m_buttonManager.DI_StartButton_LightBarrier,BOOL,0x73ea0,0xf020,0
MAIN.m_buttonManager.DI_StartButton_Terminal1,BOOL,0x73e9c,0xf020,0
MAIN.m_buttonManager.DI_StartButton_Terminal2,BOOL,0x73e9d,0xf020,0
MAIN.m_buttonManager.DI_StartButton_Terminal3,BOOL,0x73e9e,0xf020,0
MAIN.m_buttonManager.DI_StopButton_Door,BOOL,0x73ea1,0xf020,0
MAIN.m_buttonManager.DI_StopButton_LightBarrier,BOOL,0x73ea2,0xf020,0
MAIN.m_compExpr1,Resi4MPM.ComparisonExpression,0x1923e0,0x4040,0
MAIN.m_compExpr3,Resi4MPM.ComparisonExpression,0x192468,0x4040,0
MAIN.m_compExpr5,Resi4MPM.ComparisonExpression,0x1924f0,0x4040,0
MAIN.m_compExpr7,Resi4MPM.ComparisonExpression,0x192578,0x4040,0
MAIN.m_container,xPPU_Container,0x16c350,0x4040,0
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,BOOL,0x16c3a0,0xf020,0
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,BOOL,0x16c394,0xf020,0
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,BOOL,0x16c3ac,0xf020,0
MAIN.m_container.m_crane.Motor.AI_Position,UINT,0x16c360,0xf020,0
MAIN.m_container.m_crane.Motor.AI_Speed,UDINT,0x16c364,0xf020,0
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,BOOL,0x16c368,0xf030,0
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,BOOL,0x16c369,0xf030,0
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,INT,0x16c384,0xf020,0
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,INT,0x16c386,0xf020,0
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,INT,0x16c382,0xf020,0
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,BOOL,0x16c380,0xf020,0
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,BOOL,0x16c37f,0xf020,0
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,BOOL,0x16c37c,0xf020,0
