typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,semanticId
SubmodelElementCollection,VacuumGripper,,,,,,
SubmodelElementCollection,VacuumGripper.Skill_Intake,,,,,,
SubmodelElementCollection,Condition,,,,,,
Property,VacuumGripper.DO_VacuumOn,TRUE,bool,,,,
ReferenceElement,Call,VacuumGripper,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,VacuumGripper.Skill_Release,,,,,,
SubmodelElementCollection,Condition,,,,,,
Property,VacuumGripper.DO_VacuumOn,FALSE,bool,,,,
ReferenceElement,Call,VacuumGripper,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,VacuumGripper.Skill_VacuumHitOff,,,,,,
SubmodelElementCollection,Condition,,,,,,
Property,VacuumGripper.VacuumHit,FALSE,bool,,,,
ReferenceElement,Call,VacuumGripper,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,VacuumGripper.Skill_VacuumHitOn,,,,,,
SubmodelElementCollection,Condition,,,,,,
Property,VacuumGripper.VacuumHit,TRUE,bool,,,,
ReferenceElement,Call,VacuumGripper,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,Motor,,,,,,
SubmodelElementCollection,Motor.Skill_Stop,,,,,,
SubmodelElementCollection,Condition,,,,,,
Property,Motor.DO_TurnClockwise,FALSE,bool,,,,
Property,Motor.DO_TurnCounterclockwise,FALSE,bool,,,,
Property,Motor.Stopped,TRUE,bool,,,,
Property,Motor.TurningClockwise,FALSE,bool,,,,
Property,Motor.TurningCounterclockwise,FALSE,bool,,,,
ReferenceElement,Call,Motor,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,Motor.Skill_TurnClockwise,,,,,,
SubmodelElementCollection,Condition,,,,,,
Property,Motor.DO_TurnClockwise,TRUE,bool,,,,
Property,Motor.DO_TurnCounterclockwise,FALSE,bool,,,,
Property,Motor.Stopped,FALSE,bool,,,,
Property,Motor.TurningClockwise,TRUE,bool,,,,
Property,Motor.TurningCounterclockwise,FALSE,bool,,,,
ReferenceElement,Call,Motor,,,,,
End-SubmodelElementCollection,,,,,,,
End-SubmodelElementCollection,,,,,,,
SubmodelElementCollection,Motor.Skill_TurnCounterclockwise,,,,,,
SubmodelElementCollection,Condition,,,,,,
Property,Motor.DO_TurnClockwise,FALSE,bool,,,,
Property,Motor.DO_TurnCounterclockwise,TRUE,bool,,,,
Property,Motor.Stopped,FALSE,bool,,,,
