typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
SubmodelElementCollection,StructuralDiagram,,,,,,,
SubmodelElementCollection,BlockDefinitionDiagram_PPU,,,,,,,
SubmodelElementCollection,Class_PPU,,,,,,_2ub-IBHQEeaen93uATCTQQ,
SubmodelElementCollection,Properties,,,,,,,
Property,StartButton,,Boolean,,,,_vF8KANgFEeaLleG51tH3Eg,
Property,InitCompleted,,Boolean,,,,_aJiUwKXBEeaaifhFzThDQw,
Property,AutomaticExecuteCompleted,,Boolean,,,,_095SsLYVEeaPAdOs73iMYQ,
Property,EmergencyStop,,Boolean,,,,_0mtq8NgFEeaLleG51tH3Eg,
Property,EmergencyHandled,,Boolean,,,,_b9Eu8KXBEeaaifhFzThDQw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
SubmodelElementCollection,Automatic_Execute,,,,,,_34-LMBzfEeaVKKE7CcnSSg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Initialisation,,,,,,_SUKUkCZ4EeagIsaxH253Xw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,EmergencyStop,,,,,,_K_UZQCcNEeaCDM79dIZItg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_Stack,,,,,,_P1xSIBHVEeaen93uATCTQQ,
SubmodelElementCollection,Properties,,,,,,,
Property,StartButton,,Boolean,,,,_QuGvQNgNEeaLleG51tH3Eg,
Property,InitCompleted,,Boolean,,,,_dMpoIBHfEeaIeI6F5gdpJg,
Property,AutomaticExecuteCompleted,,Boolean,,,,_0fnXELYcEeaPAdOs73iMYQ,
Property,EmergencyStop,,Boolean,,,,_Wz-hUNgNEeaLleG51tH3Eg,
Property,EmergencyHandled,,Boolean,,,,_PQIEgGSBEeaP7aiWefDRgg,
Property,WPProvided,,Boolean,,,,_aSZBABHgEeaIeI6F5gdpJg,
Property,WPType,,,,,,_mbruEBHgEeaIeI6F5gdpJg,
Property,WPWeight,,,,,,_4yUIUNydEea2-snvt7IG-A,
Property,Check_Crane_PickedUpWP,,Boolean,,,,_kc3Y4NgNEeaLleG51tH3Eg,
Property,panel,,,,,,_JTiEcxHmEeaIeI6F5gdpJg,
Property,seperator,,,,,,_KG4M8xHmEeaIeI6F5gdpJg,
Property,WPAvailable,,,,,,_LN6GcxHmEeaIeI6F5gdpJg,
Property,inductiveSensor,,,,,,_L4sI0xHmEeaIeI6F5gdpJg,
Property,opticalSensor,,,,,,_MmUq4xHmEeaIeI6F5gdpJg,
Property,weightModule,,,,,,_ebS4oNyaEea2-snvt7IG-A,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
SubmodelElementCollection,ACT_Init,,,,,,__mf04BHZEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_ProvideWP,,,,,,_KdX30BHaEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_AutomaticExecute,,,,,,_6iEJ4EgMEeavyPrpKniqtA,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_EmergencyStop,,,,,,_O_qMIEmREeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_PPUTostack,,,,,,,
Property,name,stack,,,,,,
Property,aggregation,composite,,,,,,
Property,Cardinality,[1 1],,,,,,
Property,type,Association,,,,,_K9YDABHZEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_PPUTostack,_2ub-IBHQEeaen93uATCTQQ,,,,,,_P1xSIBHVEeaen93uATCTQQ
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_Crane,,,,,,_uUK40BHWEeaE9dGXaplL2g,
SubmodelElementCollection,Properties,,,,,,,
Property,InitCompleted,,Boolean,,,,_nmfocBHtEeaIeI6F5gdpJg,
Property,AutomaticExecuteCompleted,,Boolean,,,,_hDjIAGRvEeaP7aiWefDRgg,
