xmi:type,name,xmi:id,description
,RootElement,_pJ8eYBHQEeaen93uATCTQQ,RootElement
Class,MAIN,_eQ3PwNi0EeaI3IcGROryBQ,MAIN
StateMachine,MAIN,_36PIkNiyEeaI3IcGROryBQ,MAIN
Transition,TransitionSd2UsNi0EeaI3IcGROryBQ,_Sd2UsNi0EeaI3IcGROryBQ,
Transition,TransitionWDBEkNi0EeaI3IcGROryBQ,_WDBEkNi0EeaI3IcGROryBQ,
Pseudostate,PseudostateQJAZsNizEeaI3IcGROryBQ,_QJAZsNizEeaI3IcGROryBQ,
State,MainProgram,_Tefu0NizEeaI3IcGROryBQ,Main_Program
OpaqueBehavior,OpaqueBehaviorOfMainProgram,_HN2AENi0EeaI3IcGROryBQ,PPU(); PPU.stack(); PPU.crane(); PPU.stamp(); PPU.largeSortingConveyor(); Stack_WPType:=PPU.stack.WPType; Crane_WPType:=PPU.crane.WPType; Stamp_WPType:=PPU.stamp.WPType; Stack_WPProvided:=PPU.stack.WPProvided; Crane_Allow_Conveyor_to_Operate:=PPU.crane.Conveyor_AllowedToOperate; Crane_Allow_Stamp_to_Operate:=PPU.crane.Stamp_AllowedToOperate; Crane_PickedUpStackWP:=PPU.crane.Table.Potentiometer.AtStack AND PPU.crane.WPPickedUp; Stamp_IsStamping:=PPU.stamp.IsStamping; Stamp_WPAvailable:=PPU.Stamp.WPAvailable.DI_SwitchTrue; Stamp_AutomaticExecuteCompleted:=PPU.Stamp.AutomaticExecuteCompleted; LargeSortingConveyor_AllowedToOperate:=Crane_Allow_Conveyor_to_Operate; LargeSortingConveyor_IsSorting:=PPU.largeSortingConveyor.IsSorting; LargeSortingConveyor_AutomaticExecuteCompleted:=PPU.largeSortingConveyor.AutomaticExecuteCompleted; 
FinalState,FinalStateUHDuMNi0EeaI3IcGROryBQ,_UHDuMNi0EeaI3IcGROryBQ,
Class,PPU,_2ub-IBHQEeaen93uATCTQQ,PPU
Property,StartButton,_vF8KANgFEeaLleG51tH3Eg,StartButton
Property,InitCompleted,_aJiUwKXBEeaaifhFzThDQw,InitCompleted
Property,AutomaticExecuteCompleted,_095SsLYVEeaPAdOs73iMYQ,AutomaticExecuteCompleted
Property,EmergencyStop,_0mtq8NgFEeaLleG51tH3Eg,EmergencyStop
Property,EmergencyHandled,_b9Eu8KXBEeaaifhFzThDQw,EmergencyHandled
StateMachine,PPUACTAutomaticExecute,_MqflwBHREeaen93uATCTQQ,PPU_ACT_AutomaticExecute
Transition,notstackDIWPAvailable,_mdtwEBzxEeaHnYHMiM-I7Q,[not stack.DI_WPAvailable]
Transition,stackseperatorDIRetracted,_B8KMwBzzEeaHnYHMiM-I7Q,[stack.seperator.DI_Retracted]
Transition,NotAutomaticExecuteCompleted,_91Ek4EmPEea0ovNLUKsTWw,[Not AutomaticExecuteCompleted]
Transition,true,_JaJKkEmQEea0ovNLUKsTWw,[true]
Transition,AutomaticExecuteCompleted,_e7t-IGVGEeaSMugellPalg,[AutomaticExecuteCompleted]
Pseudostate,Pseudostate3wABzwEeaHnYHMiMI7Q,__3w-ABzwEeaHnYHMiM-I7Q,
State,CallAll,_HmjigEmPEea0ovNLUKsTWw,Call_All
OpaqueBehavior,OpaqueBehaviorOfCallAll,_g2uxcLcYEeaSbZaN2J4zjw,EmergencyStop := stack.EmergencyStop OR largeSortingConveyor.EmergencyStop OR stamp.EmergencyStop OR crane.SoftwareEmergency OR stamp.SoftwareEmergency; StartButton := stack.StartButton OR largeSortingConveyor.StartButton OR stamp.StartButton; crane.ACT_AutomaticExecute() AND largeSortingConveyor.ACT_AutomaticExecute()  AND stack.ACT_AutomaticExecute() AND stamp.ACT_AutomaticExecute()
StateMachine,PPUACTInit,_TZ6bsCZ4EeagIsaxH253Xw,PPU_ACT_Init
Transition,true,_WKieUCZ6EeagIsaxH253Xw,[true]
Transition,conveyorPicAlphaInitialized,_tnEaMCZ6EeagIsaxH253Xw,[conveyorPicAlpha.Initialized]
Transition,refillConveyorInitialized,_yI_tQCZ6EeagIsaxH253Xw,[refillConveyor.Initialized]
Transition,largeSortingConveyorInitCompleted,_5WGNICZ6EeagIsaxH253Xw,[largeSortingConveyor.InitCompleted]
Transition,stampInitCompleted,_-11MQCZ6EeagIsaxH253Xw,[stamp.InitCompleted]
Transition,craneInitCompleted,_DiMNsCZ7EeagIsaxH253Xw,[crane.InitCompleted]
Transition,stackInitCompleted,_H4VukCZ7EeagIsaxH253Xw,[stack.InitCompleted]
Transition,NOTInitCompleted,_plwosGV3Eeab9L8V4_TyWg,[NOT InitCompleted]
Transition,InitCompleted,_MR9QYLcZEeaSbZaN2J4zjw,[InitCompleted]
Transition,Transition12mBoNgJEeaLleG51tH3Eg,_12mBoNgJEeaLleG51tH3Eg,
Transition,TransitionQdnjkNgKEeaLleG51tH3Eg,_QdnjkNgKEeaLleG51tH3Eg,
Transition,TransitiondlTykNgKEeaLleG51tH3Eg,_dlTykNgKEeaLleG51tH3Eg,
Transition,Transition97YskNgLEeaLleG51tH3Eg,_97YskNgLEeaLleG51tH3Eg,
Transition,Transition44PkNgLEeaLleG51tH3Eg,_-44PkNgLEeaLleG51tH3Eg,
Pseudostate,PseudostateZifjgCZ4EeagIsaxH253Xw,_ZifjgCZ4EeagIsaxH253Xw,
State,LargeSortingConveyorInit,_4k85gCZ5EeagIsaxH253Xw,LargeSortingConveyorInit
OpaqueBehavior,OpaqueBehaviorOfLargeSortingConveyorInit,_kHx2ALcZEeaSbZaN2J4zjw,largeSortingConveyor.ACT_Init()
State,CraneInit,_ArsXICZ6EeagIsaxH253Xw,Crane_Init
OpaqueBehavior,OpaqueBehaviorOfCraneInit,_mdBPELcZEeaSbZaN2J4zjw,crane.ACT_Init()
State,StampInit,_GQMhgCZ6EeagIsaxH253Xw,Stamp_Init
OpaqueBehavior,OpaqueBehaviorOfStampInit,_VkgZ0LcZEeaSbZaN2J4zjw,stamp.ACT_Init()
State,StackInit,_NMNRYCZ6EeagIsaxH253Xw,StackInit
OpaqueBehavior,OpaqueBehaviorOfStackInit,_g9z0YLcZEeaSbZaN2J4zjw,stack.ACT_Init()
FinalState,FinalStateTpHqcCZ6EeagIsaxH253Xw,_TpHqcCZ6EeagIsaxH253Xw,
State,InitCompleted,_DjY9wLcZEeaSbZaN2J4zjw,Init_Completed
OpaqueBehavior,OpaqueBehaviorOfInitCompleted,_KQM0ALcZEeaSbZaN2J4zjw,Now(InitCompleted)
State,ResetInit,_uZGVUNgJEeaLleG51tH3Eg,Reset_Init
OpaqueBehavior,OpaqueBehaviorOfResetInit,_-BveINgJEeaLleG51tH3Eg,Reset(StartButton)
Pseudostate,PseudostateHxvYkNgKEeaLleG51tH3Eg,_HxvYkNgKEeaLleG51tH3Eg,
State,EmergencyChecking,_RmIDwNgKEeaLleG51tH3Eg,EmergencyChecking
OpaqueBehavior,OpaqueBehaviorOfEmergencyChecking,_aAWeENgKEeaLleG51tH3Eg,EmergencyStop := stack.EmergencyStop OR largeSortingConveyor.EmergencyStop OR stamp.EmergencyStop OR crane.SoftwareEmergency OR stamp.SoftwareEmergency;
Pseudostate,Pseudostated2jeINgLEeaLleG51tH3Eg,_d2jeINgLEeaLleG51tH3Eg,
StateMachine,PPUACTEmergencyStop,_5kHGoCcMEeaCDM79dIZItg,PPU_ACT_EmergencyStop
Transition,refillConveyorswitchStopperDIRetracted,_-jblsCcfEea2HoRD4bUt5w,[refillConveyor.switchStopper.DI_Retracted]
Transition,true,_VYO-IEmZEeaPbYa44WUTPg,[true]
Transition,TransitionYUIHgEmZEeaPbYa44WUTPg,_YUIHgEmZEeaPbYa44WUTPg,
Transition,TransitioncMCNMEmZEeaPbYa44WUTPg,_cMCNMEmZEeaPbYa44WUTPg,
Transition,TransitionfEb9sEmZEeaPbYa44WUTPg,_fEb9sEmZEeaPbYa44WUTPg,
Transition,TransitionipNE8EmZEeaPbYa44WUTPg,_ipNE8EmZEeaPbYa44WUTPg,
Transition,TransitionsBaKcEmZEeaPbYa44WUTPg,_sBaKcEmZEeaPbYa44WUTPg,
Transition,TransitionttrfAEmZEeaPbYa44WUTPg,_ttrfAEmZEeaPbYa44WUTPg,
Transition,TransitionwKp3wEmZEeaPbYa44WUTPg,_wKp3wEmZEeaPbYa44WUTPg,
Transition,TransitionzHKFIEmZEeaPbYa44WUTPg,_zHKFIEmZEeaPbYa44WUTPg,
Transition,EmergencyHandled,_16RtAEmZEeaPbYa44WUTPg,[EmergencyHandled]
Transition,NOTEmergencyHandled,_8Ja3gGV_Eeab9L8V4_TyWg,[NOT EmergencyHandled]
Transition,stackEmergencyHandled,_arFLMNgMEeaLleG51tH3Eg,[stack.EmergencyHandled]
Transition,craneEmergencyHandled,_d23xwNgMEeaLleG51tH3Eg,[crane.EmergencyHandled]
Transition,largeSortingConveyorEmergencyHandled,_pu7k4NgMEeaLleG51tH3Eg,[largeSortingConveyor.EmergencyHandled]
