var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,140,1772210828345694000,1772210778857178700,stackslidingCylinderExtend,1772210778857178700,1772210778889763500,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,146,1772210828415697200,1772210778927360000,stackslidingCylinderRetracted,1772210778928368000,1772210778936935200,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,177,1772210828625696400,1772210779138152900,stackslidingCylinderExtended,1772210779138152900,1772210779146609200,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,178,1772210828635702500,1772210779147615500,craneMotorTurnClockwise,1772210779147615500,1772210779164107600,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,180,1772210828635702500,1772210779165213300,stackslidingCylinderExtend,1772210779165213300,1772210779173799600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,194,1772210828725701000,1772210779238708700,stackslidingCylinderExtended,1772210779238708700,1772210779255997800,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,210,1772210828845695200,1772210779356501700,cranePresenceSensorAtConveyorWPDetected,1772210779357094600,1772210779365115000,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,221,1772210828925703100,1772210779437890800,stackslidingCylinderRetracted,1772210779438399500,1772210779446464400,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,504,1772210830796178900,1772210781307253600,cranePresenceSensorAtStackWPDetected,1772210781307769700,1772210781315370700,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,507,1772210830806177600,1772210781317436900,craneMotorTurnClockwise,1772210781317436900,1772210781326716600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,513,1772210830846180400,1772210781360285500,craneMonostableCylinderExtend,1772210781360285500,1772210781376807500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,532,1772210831116179000,1772210781627013200,craneMonostableCylinderRetracted,1772210781628018800,1772210781635776000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,569,1772210831635177600,1772210782146765400,craneMonostableCylinderExtended,1772210782146765400,1772210782154920600,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,639,1772210832385858700,1772210782897805500,craneVacuumGripperTakenIn,1772210782897805500,1772210782915403100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,659,1772210832665884700,1772210783177246300,craneMonostableCylinderExtend,1772210783178257200,1772210783185804600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,677,1772210832795912300,1772210783307213100,craneMonostableCylinderExtended,1772210783307213100,1772210783324140700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,709,1772210833105820200,1772210783617711300,craneMonostableCylinderRetracted,1772210783617711300,1772210783625920500,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,True,714,1772210833146802400,1772210783657519600,craneMotorTurnCounterclockwise,1772210783657519600,1772210783666595300,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,744,1772210833365629500,1772210783877159300,cranePresenceSensorAtStackWPDetected,1772210783877159300,1772210783885567700,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,841,1772210833985720900,1772210784497800500,stackslidingCylinderExtend,1772210784497800500,1772210784506876400,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,853,1772210834055721500,1772210784568388900,stackslidingCylinderRetracted,1772210784568388900,1772210784576898200,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,884,1772210834275721000,1772210784786678800,stackslidingCylinderExtended,1772210784788228100,1772210784794756700,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,886,1772210834285721000,1772210784798125400,stackslidingCylinderExtend,1772210784798125400,1772210784805739600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,902,1772210834375719400,1772210784888146800,stackslidingCylinderExtended,1772210784888146800,1772210784894733100,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,932,1772210834575881800,1772210785087266100,stackslidingCylinderRetracted,1772210785088276800,1772210785095510600,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1032,1772210835255833800,1772210785766789700,cranePresenceSensorAtConveyorWPDetected,1772210785766789700,1772210785774473900,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,1062,1772210835455962000,1772210785967047100,cranePresenceSensorAtConveyorWPDetected,1772210785967047100,1772210785974701000,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,True,1323,1772210837214910900,1772210787726511600,cranePresenceSensorAtStampWPDetected,1772210787726511600,1772210787735221300,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,1326,1772210837224912300,1772210787736728200,craneMotorTurnCounterclockwise,1772210787736728200,1772210787744368600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1334,1772210837264549000,1772210787775664300,craneMonostableCylinderExtend,1772210787776662500,1772210787783928600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1352,1772210837535257400,1772210788046791100,craneMonostableCylinderRetracted,1772210788046791100,1772210788056130000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1383,1772210838065260900,1772210788577791100,craneMonostableCylinderExtended,1772210788577791100,1772210788586868200,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,1391,1772210838125260600,1772210788636794100,craneVacuumGripperTakenIn,1772210788637810700,1772210788645385400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1397,1772210838184260400,1772210788696453700,craneMonostableCylinderExtend,1772210788696453700,1772210788707154500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1406,1772210838305256600,1772210788816814000,craneMonostableCylinderExtended,1772210788816814000,1772210788827068200,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,False,1416,1772210838435257300,1772210788948135800,stampslidingCylinderExtend,1772210788948135800,1772210788956848400,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,True,1417,1772210838436259200,1772210788956848400,stampslidingCylinderRetract,1772210788956848400,1772210788974273300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,1427,1772210838605257500,1772210789116778800,craneMonostableCylinderRetracted,1772210789118147600,1772210789125309900,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,False,1431,1772210838644980300,1772210789157732000,stampslidingCylinderExtended,1772210789157732000,1772210789165366400,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,True,1478,1772210839194982100,1772210789707151300,stampslidingCylinderRetracted,1772210789707151300,1772210789717803300,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,True,1479,1772210839194982100,1772210789717803300,stampstampingCylinderExtend,1772210789717803300,1772210789736448300,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,False,1576,1772210840704665000,1772210791216182500,stampstampingCylinderExtend,1772210791216762000,1772210791232044500,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,True,1577,1772210840714666300,1772210791232044500,stampslidingCylinderExtend,1772210791233555400,1772210791241512700,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,False,1578,1772210840714666300,1772210791242020500,stampslidingCylinderRetract,1772210791242020500,1772210791257826400,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,False,1583,1772210840834666200,1772210791346775400,stampslidingCylinderRetracted,1772210791346775400,1772210791354061100,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,True,1600,1772210841345365400,1772210791858015500,stampslidingCylinderExtended,1772210791858015500,1772210791875330000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1608,1772210841425592000,1772210791936581600,craneMonostableCylinderExtend,1772210791936581600,1772210791945548100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1627,1772210841685593100,1772210792197061100,craneMonostableCylinderRetracted,1772210792197566800,1772210792213277600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1667,1772210842204676300,1772210792715988200,craneMonostableCylinderExtended,1772210792715988200,1772210792725132300,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,1716,1772210842964549600,1772210793476629300,craneVacuumGripperTakenIn,1772210793476629300,1772210793486224900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1725,1772210843244552500,1772210793756784300,craneMonostableCylinderExtend,1772210793756784300,1772210793765900000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1738,1772210843374543500,1772210793886442400,craneMonostableCylinderExtended,1772210793886951000,1772210793894630600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,1766,1772210843664543100,1772210794175880100,craneMonostableCylinderRetracted,1772210794175880100,1772210794193859800,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,1770,1772210843704540800,1772210794216655400,craneMotorTurnClockwise,1772210794216655400,1772210794225965100,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,1797,1772210843864543500,1772210794376714900,cranePresenceSensorAtStampWPDetected,1772210794376714900,1772210794388639300,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,2057,1772210845614688200,1772210796126714400,cranePresenceSensorAtConveyorWPDetected,1772210796126714400,1772210796134936200,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,2059,1772210845624690800,1772210796136442500,craneMotorTurnClockwise,1772210796136998600,1772210796144645000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,2067,1772210845664684700,1772210796176332700,craneMonostableCylinderExtend,1772210796176332700,1772210796183552400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,2085,1772210845934688500,1772210796446880600,craneMonostableCylinderRetracted,1772210796446880600,1772210796454711700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,2120,1772210846444688100,1772210796957771500,craneMonostableCylinderExtended,1772210796958779400,1772210796965865400,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,2127,1772210846504687200,1772210797016708000,craneVacuumGripperTakenIn,1772210797017215300,1772210797024969900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,2137,1772210846574688400,1772210797086525800,craneMonostableCylinderExtend,1772210797086525800,1772210797095376300,204
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,True,2138,1772210846604683600,1772210797116094400,LSCMotorTurnClockwise,1772210797116603200,1772210797123760100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,2150,1772210846694688200,1772210797207124700,craneMonostableCylinderExtended,1772210797207124700,1772210797215249100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,2176,1772210846994455000,1772210797506596700,craneMonostableCylinderRetracted,1772210797507102600,1772210797515669800,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,2181,1772210847054455500,1772210797566841800,craneMotorTurnClockwise,1772210797567851000,1772210797577580700,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,2214,1772210847243455000,1772210797755148300,cranePresenceSensorAtConveyorWPDetected,1772210797755148300,1772210797764715600,204
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,2310,1772210847793945000,1772210798306025100,LSCMotorTurnClockwise,1772210798306545500,1772210798316726300,204
