var_name,seq,value,t0_ns,unity_recv_ns,unity_event,unity_time_ns,kind
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,142,true,1772209491736034400,1772209443324207200,Unity.Received,1772209443324207200,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,142,true,1772209491736034400,1772209443324207200,StackCylinder.DO_Extend,1772209443326367300,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,146,false,1772209491806035900,1772209443326367300,Unity.Received,1772209443326367300,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,175,true,1772209492025770000,1772209443333509700,Unity.Received,1772209443333509700,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,176,true,1772209492035770400,1772209443333509700,Unity.Received,1772209443333509700,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,176,true,1772209492035770400,1772209443333509700,RotCrane.Motor.DO_TurnClockwise,1772209443333509700,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,178,false,1772209492035770400,1772209443333509700,Unity.Received,1772209443333509700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,178,false,1772209492035770400,1772209443333509700,StackCylinder.DO_Extend,1772209443333509700,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,191,false,1772209492124767400,1772209443333509700,Unity.Received,1772209443333509700,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,208,false,1772209492244770300,1772209443333509700,Unity.Received,1772209443333509700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,220,true,1772209492324770600,1772209443334560600,Unity.Received,1772209443334560600,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,220,true,1772209492324770600,1772209443334560600,StackCylinder.DI_Retracted,1772209443595114900,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,506,true,1772209494215240500,1772209444726405400,Unity.Received,1772209444726405400,Received
