var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772205672679816100,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772205672689815600,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772205672689815600,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772205672699815500,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772205672699815500,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772205672709815200,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772205672719815200,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772205672719815200,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772205672729816700,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772205672729816700,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772205672739816700,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772205672749816000,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772205672749816000,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772205672759816900,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772205672759816900,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772205672769816500,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772205672779818800,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772205672779818800,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772205672789816600,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772205672789816600,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772205672799815500,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772205672809816300,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772205672809816300,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772205672819817500,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772205672819817500,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772205672829817100,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772205672839819900,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772205672839819900,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772205672849816300,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772205672849816300,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772205672859817800,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772205672869816500,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772205672869816500,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772205672879818700,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772205672879818700,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772205672889817300,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772205672899816500,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,False,38,1772205672899816500,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,False,39,1772205672909818300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,False,40,1772205672909818300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,41,1772205672919818900,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,42,1772205672929819200,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,False,43,1772205672929819200,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,False,44,1772205672939817600,
MAIN.m_container.m_LSC.m_Switch.DI_Extended,False,45,1772205672939817600,
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,False,46,1772205672949816900,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,False,47,1772205672959817800,
MAIN.m_container.m_LSC.Motor.AI_Position,False,48,1772205672959817800,
