name,time
Balluff BCS R08RR01-PSM80C-EP02 Capacitive sensor,5.4
Balluff BES 516-360-BO-C-03 Inductive Sensor,8.747
Balluff BES M12MI-PSC40B-BV03 Inductive sensor,9.144
Balluff BOS-18M-PS-1PD-E4-C-03 Optical sensor,9.565
Balluff BUS M18K0-XAER-040-S92K Ultrasonic Sensor,4.523
Bernstein 010-KLPS8V Inductive Proximity Switch,6.21
Festo ADVU-16-10-P-A Compact cylinder,5.686
Festo CPV10-M1H-2OLS-2GLS-M7 Solenoid valve,8.551
Festo CPV10-M1H-5JS-M7 Solenoid valve,8.173
Festo CPV10-M1H-5LS-M7 Solenoid valve,8.464
Festo CPV10-RZP Blanking plate,1.058
Festo CPV10-VI Valve terminal,8.461
Festo DSNU-16-60-P-A Cylinder,5.946
Festo DSNU-16-60-PPV-A Cylinder,6.142
Festo DSNU-20-100-PPV-A Cylinder,6.009
Festo DZF-25-50-A-P-A Flat cylinder,5.276
Festo EGC-50- -TB-KF Toothed belt axis,10.017
Festo MA-40-10-1_8-EN Pressure gauge,5.179
Festo MA-40-16-1_8 Pressure gauge,5.095
Festo OVEM-05-H-B-QO-CE-N-P1 Vacuum generator,17.678
Festo S-3-BE-SW Micro switch,0.61
Festo SDAT-MHS-M125-1L-SA-E-0.3-M8 Inductive position transmitter,11.753
Festo SDAT-MHS-M160-1L-SA-E-0.3-M8 Inductive position transmitter,11.753
Festo SDAT-MHS-M80-1L-SA-E-0.3-M8 Inductive position transmitter,11.842
Festo SDE1-D10-G2-H18-C-PU-M8 Pressure sensor,6.207
Festo SFAB-200U 563795 Flow sensor,15.037
Festo SME-8-K-LED-24 Proximity sensor,8.123
Festo SME-8-S-LED-24 Proximity sensor,8.836
Festo SMEO-4U-K-LED-230 Inductive position transmitter,6.889
Festo VAS-30-1_8-PUR-B Vacuum cup,4.709
HBM PW6DC3MR 3kg Weight sensor,12.466
HBM RM4220 Measuring amplifier,3.952
Ott XDS 035 005-03 Motor,1.22
Siemens 6GT2821-2AC32 RFID read and write head,5.358
Average,7.472911764705883
