name,time
Balluff BCS R08RR01-PSM80C-EP02 Capacitive sensor,10.368
Balluff BES 516-360-BO-C-03 Inductive Sensor,9.959
Balluff BOS-18M-PS-1PD-E4-C-03 Optical sensor,10.0
Balluff BUS M18K0-XAER-040-S92K Ultrasonic Sensor,11.026
Phonix Contact DIKD 1.5 Terminal block & Load cell connection,10.052
HBM PW6DC3MR 3kg Weight sensor,10.237
Siemens 6GT2821-2AC32 RFID read and write head,15.021
Festo ADVU-16-10-P-A Compact cylinder,10.329
Festo CPV10-M1H-2OLS-2GLS-M7 Solenoid valve,9.842
Festo CPV10-M1H-5JS-M7 Solenoid valve,9.665
Festo CPV10-M1H-5LS-M7 Solenoid valve,9.888
Festo CPV10-RZP Blanking plate,10.16
Festo DSNU-16-60-P-A Cylinder,10.257
Festo DSNU-16-60-PPV-A Cylinder,10.083
Festo DSNU-20-100-PPV-A Cylinder,10.335
Festo DZF-25-50-A-P-A Flat cylinder,10.292
Festo MA-40-10-1_8-EN Pressure gauge,9.869
Festo MA-40-16-1_8 Pressure gauge,9.8
Festo SDAT-MHS-M125-1L-SA-E-0.3-M8 Inductive position transmitter,117.58
Festo SDAT-MHS-M160-1L-SA-E-0.3-M8 Inductive position transmitter,11.562
Festo SDAT-MHS-M80-1L-SA-E-0.3-M8 Inductive position transmitter,11.182
Festo SME-8-K-LED-24 Proximity sensor,10.644
Festo SME-8-S-LED-24 Proximity sensor,10.699
Festo SMEO-4U-K-LED-230 Inductive position transmitter,10.164
Festo VAS-30-1_8-PUR-B Vacuum cup,10.333
Average,14.773880000000002
