Name,Type,Index Group,Index Offset,Comment
MAIN.i,UINT,16448,1584926,other
MAIN.IGNORE_DEFINITION,BOOL,16448,467694,
MAIN.IGNORE_STOP,BOOL,16448,467695,
MAIN.INSTANCE_NAME,STRING(80),16448,474308,
MAIN.m_allRampsFull,Resi4MPM.BoolExpression,16448,1584904,
MAIN.m_appInitialized,BOOL,16448,1584931,
MAIN.m_appObservation,ARRAY [1..1] OF Resi4MPM.SValue,16448,1606328,
MAIN.m_boolExpr8,Resi4MPM.BoolExpression,16448,1584864,
MAIN.m_boolExpr9,Resi4MPM.BoolExpression,16448,1584884,
MAIN.m_buttonManager,ButtonManager,16448,474392,define services
MAIN.m_buttonManager.DI_AutomaticSwitch_DoorTerminal,BOOL,61472,474406,
MAIN.m_buttonManager.DI_AutomaticSwitch_LightGridTerminal,BOOL,61472,474407,
MAIN.m_buttonManager.DI_AutomaticSwitch_LSCTerminal,BOOL,61472,474405,
MAIN.m_buttonManager.DI_AutomaticSwitch_StackTerminal,BOOL,61472,474403,
MAIN.m_buttonManager.DI_AutomaticSwitch_StampTerminal,BOOL,61472,474404,
MAIN.m_buttonManager.DI_EStopButton_LightBarrier,BOOL,61472,474411,DI_EStopButton_Door AT%I*: BOOL;     //currently not connected to PLC
MAIN.m_buttonManager.DI_EStopButton_Terminal1,BOOL,61472,474408,
MAIN.m_buttonManager.DI_EStopButton_Terminal2,BOOL,61472,474409,
MAIN.m_buttonManager.DI_EStopButton_Terminal3,BOOL,61472,474410,
MAIN.m_buttonManager.DI_ResetButton_Door,BOOL,61472,474412,
MAIN.m_buttonManager.DI_ResetButton_LightBarrier,BOOL,61472,474413,
MAIN.m_buttonManager.DI_StartButton_Door,BOOL,61472,474399,
MAIN.m_buttonManager.DI_StartButton_LightBarrier,BOOL,61472,474400,
MAIN.m_buttonManager.DI_StartButton_Terminal1,BOOL,61472,474396,
MAIN.m_buttonManager.DI_StartButton_Terminal2,BOOL,61472,474397,
